date,datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl,gain,loss,avg_gain,avg_loss,rs,rsi
2024-01-05 11:00:00,2024-01-05 11:00:00,44151.1,44357.46,42450.0,44145.11,48075.25327,0,,,,,1.3644838186480774,1.0,1,-1,-1,3.0,33.0,20.0,57.039334313576376,51.83873714260719,1.0,0.0,5.989999999997963,455.08341959281154,342.75797366568867,1.3277106721277336,57.039334313576376
2024-01-06 11:00:00,2024-01-06 11:00:00,44145.12,44214.42,43397.05,43968.32,17835.06144,0,,,,,1.3549772314313595,1.0,-1,-1,1,3.0,33.0,64.5,56.08339120784012,56.08339120784012,1.0,0.0,176.79000000000087,422.57746105046783,330.90311840385385,1.27704284894266,56.08339120784012
2024-01-07 11:00:00,2024-01-07 11:00:00,43968.32,44480.59,43572.09,43929.02,23023.8508,0,,,45879.63,40750.0,1.3297180024325712,1.0,-1,-1,-1,0.0,39.0,86.5,55.85927542955001,55.85927542955001,1.0,0.0,39.30000000000291,392.3933566897202,310.0743242321502,1.265481615291495,55.85927542955002
2024-01-08 11:00:00,2024-01-08 11:00:00,43929.01,47248.99,43175.0,46951.04,72814.57589,0,,,,,1.3003871032713286,1.0,-1,1,-1,6.0,23.5,6.0,66.83451457443931,55.85927542955001,1.0,3022.020000000004,-0.0,580.2238312118833,287.9261582155681,2.015182763552432,66.83451457443931
2024-01-09 11:00:00,2024-01-09 11:00:00,46951.04,47972.0,44748.67,46110.0,69927.66617,0,,,,,1.332967191009382,1.0,-1,-1,1,6.0,25.5,18.5,62.19935772391358,55.85927542955001,1.0,0.0,841.0400000000009,538.7792718396059,327.434289771599,1.6454576953911275,62.19935772391358
2024-01-10 11:00:00,2024-01-10 11:00:00,46110.0,47695.93,44300.36,46653.99,89911.41203,0,,,,,1.3284791817403303,1.0,-1,-1,-1,0.0,26.5,12.5,63.94129575703846,62.19935772391358,1.0,543.989999999998,-0.0,539.1514667082054,304.0461262164848,1.773255503753146,63.94129575703846
2024-01-11 11:00:00,2024-01-11 11:00:00,46654.0,48969.48,45606.06,46339.16,87470.3296,0,,40750.0,,,1.3317537376916573,1.0,-1,-1,-1,0.0,34.5,14.0,62.15609476650688,62.15609476650688,1.0,0.0,314.82999999999447,500.6406476576193,304.8164029153069,1.6424334217890566,62.15609476650688
2024-01-12 11:00:00,2024-01-12 11:00:00,46339.16,46515.53,41500.0,42782.73,86327.93707,0,,,,,1.3340669836018864,1.0,-1,-1,-1,0.0,63.0,87.5,46.397347831682765,46.397347831682765,1.0,0.0,3556.4300000000003,464.88060139636076,537.074516992785,0.865579331522456,46.397347831682765
2024-01-13 11:00:00,2024-01-13 11:00:00,42782.74,43257.0,42436.12,42847.99,36118.47464,0,,,,,1.3692456756154008,1.0,-1,-1,-1,0.0,69.5,97.5,46.66456924457664,46.397347831682765,1.0,65.25999999999476,-0.0,436.3362727251918,498.71205149330035,0.8749262654043833,46.66456924457664
2024-01-14 11:00:00,2024-01-14 11:00:00,42847.99,43079.0,41720.0,41732.35,28228.40894,0,,,,,1.36299683389678,1.0,1,-1,-1,3.0,79.0,98.5,42.74174444823931,42.74174444823931,1.0,0.0,1115.6399999999994,405.1693961019638,542.7783335294931,0.7464730463120963,42.74174444823931
